City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Zharkent,KZ,79.32,clear sky,44.1628,80.0,гостиница Satti
6,Rikitea,PF,76.06,overcast clouds,-23.1203,-134.9692,People ThankYou
7,Sur,OM,93.76,clear sky,22.5667,59.5289,Sur Plaza Hotel
13,Axim,GH,78.37,light rain,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
14,Atuona,PF,79.61,scattered clouds,-9.8,-139.0333,Villa Enata
16,Souillac,MU,77.36,overcast clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
20,Cockburn Town,TC,80.13,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
30,Hithadhoo,MV,83.17,scattered clouds,-0.6,73.0833,Scoop Guest House
34,Vanimo,PG,84.4,few clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
37,Cabo San Lucas,MX,82.4,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
43,Pundaguitan,PH,83.17,very heavy rain,6.3711,126.1689,Leonardo Family Beach House 1
44,Gombong,ID,84.83,few clouds,-7.6072,109.5142,Grafika Hotel Dan Restoran
45,Naze,JP,77.9,moderate rain,28.3667,129.4833,奄美ポートタワーホテル
46,Kununurra,AU,87.78,scattered clouds,-15.7667,128.7333,Hotel Kununurra
48,Bengkulu,ID,84.31,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Sola,VU,80.26,broken clouds,-13.8833,167.55,Leumerus Bungalows
51,Nanakuli,US,76.98,light intensity drizzle,21.3906,-158.1547,Camp Pālehua
52,Banjar,ID,87.66,few clouds,-8.19,114.9675,The Hamsa Resort
54,Kudahuvadhoo,MV,83.7,broken clouds,2.6708,72.8944,Niyama Private Islands Maldives
60,Dingle,PH,80.4,light rain,10.9995,122.6711,SEGAYA PROPERTY
64,Syracuse,IT,75.61,few clouds,37.0881,15.2792,Hotel Posta
67,Kapit,MY,82.89,overcast clouds,2.0167,112.9333,Hotel Meligai Kapit
68,Mahebourg,MU,77.25,overcast clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
69,Tura,IN,76.51,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
71,Tottori,JP,79.59,overcast clouds,35.5,134.2333,Hotel Monarque Tottori
86,Kavieng,PG,83.39,light rain,-2.5744,150.7967,Nusa Island Retreat
95,Denia,ES,75.85,clear sky,38.8408,0.1057,Hotel Port Denia
98,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
99,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
101,Sai Buri,TH,81.27,overcast clouds,6.7013,101.6168,ร้าน​ เวดดิ้ง
102,Veraval,IN,88.38,few clouds,20.9,70.3667,Lords Inn Somnath
106,Haimen,CN,84.09,moderate rain,23.1935,116.6142,Jinghao Business Hotel
117,Alanya,TR,75.33,clear sky,36.5438,31.9998,Panorama Hotel
120,Mango,US,82.31,clear sky,27.9797,-82.3065,Hilton Garden Inn Tampa East/Brandon
132,Itoman,JP,88.18,broken clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
134,Chandler,US,88.65,clear sky,33.3062,-111.8412,"Crowne Plaza Hotels & Resorts Phoenix - Chandler Golf Resort, an IHG Hotel"
138,Bayan,CN,83.95,scattered clouds,46.0833,127.4,Wanhao Inn
148,Kawardha,IN,94.86,broken clouds,22.0167,81.25,STARiHOTELS Raipur Road kawardha
149,Faya,SA,79.32,overcast clouds,18.3851,42.4509,مقبرة ال مجمل
150,Bambous Virieux,MU,77.22,overcast clouds,-20.3428,57.7575,Casa Tia Villa
155,Willemstad,CW,80.1,broken clouds,12.1084,-68.9335,Avila Beach Hotel
158,Paveh,IR,77.92,clear sky,35.0434,46.3565,اقامتگاه بوم‌گردی حسن ساعدی
162,Mareeba,AU,75.33,light rain,-17.0,145.4333,Trinity Plains Tourist Park
166,Luganville,VU,78.06,broken clouds,-15.5333,167.1667,The Espiritu Hotel
169,Butaritari,KI,83.37,broken clouds,3.0707,172.7902,Isles Sunset Lodge
