City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zharkent,KZ,44.1628,80.0,79.32,31,10,4.0,clear sky
1,Hobart,AU,-42.8794,147.3294,57.92,96,75,11.5,light intensity drizzle
2,Nanortalik,GL,60.1432,-45.2371,36.91,92,100,7.94,overcast clouds
3,Montivilliers,FR,49.5452,0.1877,60.6,94,90,11.5,overcast clouds
4,Pisco,PE,-13.7,-76.2167,62.65,82,90,4.61,overcast clouds
5,Vaini,TO,-21.2,-175.2,71.76,78,20,11.5,few clouds
6,Rikitea,PF,-23.1203,-134.9692,76.06,86,99,14.81,overcast clouds
7,Sur,OM,22.5667,59.5289,93.76,53,6,4.14,clear sky
8,Klaksvik,FO,62.2266,-6.589,47.32,92,93,17.98,overcast clouds
9,Airai,TL,-8.9266,125.4092,68.95,71,77,2.73,broken clouds
10,Bluff,NZ,-46.6,168.3333,50.07,76,66,7.78,broken clouds
11,Cape Town,ZA,-33.9258,18.4232,56.08,89,40,6.91,fog
12,Ushuaia,AR,-54.8,-68.3,40.66,81,90,3.44,overcast clouds
13,Axim,GH,4.8699,-2.2405,78.37,86,95,4.07,light rain
14,Atuona,PF,-9.8,-139.0333,79.61,74,32,15.61,scattered clouds
15,Cidreira,BR,-30.1811,-50.2056,51.39,72,74,12.8,broken clouds
16,Souillac,MU,-20.5167,57.5167,77.36,70,100,18.59,overcast clouds
17,Moanda,GA,-1.5575,13.2178,72.84,88,67,2.37,broken clouds
18,Bredasdorp,ZA,-34.5322,20.0403,55.99,76,100,1.66,overcast clouds
19,Huari,PE,-9.3333,-77.2333,41.36,93,68,3.4,broken clouds
20,Cockburn Town,TC,21.4612,-71.1419,80.13,78,36,17.49,scattered clouds
21,Albany,US,42.6001,-73.9662,62.13,87,100,2.15,overcast clouds
22,Adrar,MR,20.5022,-10.0711,87.53,23,38,10.47,scattered clouds
23,Vanavara,RU,60.34,102.2797,61.47,32,35,8.41,scattered clouds
24,Laguna,US,38.421,-121.4238,70.12,64,1,4.0,clear sky
25,Mount Gambier,AU,-37.8333,140.7667,55.96,83,100,4.59,overcast clouds
26,East London,ZA,-33.0153,27.9116,68.65,40,60,8.63,broken clouds
27,Bonavista,CA,48.6499,-53.1147,41.56,89,85,9.86,overcast clouds
28,Lompoc,US,34.6391,-120.4579,62.42,84,1,9.22,clear sky
29,Punta Arenas,CL,-53.15,-70.9167,35.11,93,73,9.26,broken clouds
30,Hithadhoo,MV,-0.6,73.0833,83.17,73,26,11.41,scattered clouds
31,Tilichiki,RU,60.4667,166.1,48.97,73,97,2.17,light rain
32,Qaanaaq,GL,77.484,-69.3632,33.73,63,68,5.06,broken clouds
33,Jurado,CO,7.1053,-77.7641,77.07,91,98,0.65,moderate rain
34,Vanimo,PG,-2.6741,141.3028,84.4,69,19,9.44,few clouds
35,Nikolskoye,RU,59.7035,30.7861,67.39,85,100,5.91,light rain
36,Treinta Y Tres,UY,-33.2333,-54.3833,45.82,73,76,8.77,broken clouds
37,Cabo San Lucas,MX,22.8909,-109.9124,82.4,68,2,6.44,clear sky
38,Mataura,NZ,-46.1927,168.8643,45.25,87,59,3.83,broken clouds
39,Seydi,TM,39.4816,62.9137,96.96,12,0,11.83,clear sky
40,Nicoya,CR,10.1483,-85.452,74.75,91,100,0.6,overcast clouds
41,Port Lincoln,AU,-34.7333,135.8667,59.2,58,100,7.11,overcast clouds
42,Mar Del Plata,AR,-38.0023,-57.5575,51.01,43,91,1.99,overcast clouds
43,Pundaguitan,PH,6.3711,126.1689,83.17,70,100,5.28,very heavy rain
44,Gombong,ID,-7.6072,109.5142,84.83,67,22,7.34,few clouds
45,Naze,JP,28.3667,129.4833,77.9,81,99,8.77,moderate rain
46,Kununurra,AU,-15.7667,128.7333,87.78,15,28,2.3,scattered clouds
