City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Namibe,AO,2021-06-03 18:36:00,-15.1961,12.1522,71.13,88,21,8.59
1,Jamestown,US,2021-06-03 18:33:14,42.097,-79.2353,67.06,86,90,4.0
2,Inhambane,MZ,2021-06-03 18:32:31,-23.865,35.3833,67.98,68,0,13.8
3,Ushuaia,AR,2021-06-03 18:36:01,-54.8,-68.3,35.22,86,0,5.75
4,Meulaboh,ID,2021-06-03 18:36:02,4.1363,96.1285,77.18,91,100,3.83
5,Chuy,UY,2021-06-03 18:31:12,-33.6971,-53.4616,59.61,48,14,7.61
6,Santa Maria,BR,2021-06-03 18:36:02,-29.6842,-53.8069,74.5,41,0,4.79
7,Doha,QA,2021-06-03 18:36:02,25.2867,51.5333,93.51,49,0,9.22
8,Sirmaur,IN,2021-06-03 18:36:03,24.85,81.3833,91.44,35,61,8.08
9,Seoul,KR,2021-06-03 18:33:24,37.5683,126.9778,58.44,94,0,3.36
10,Ipora,BR,2021-06-03 18:36:03,-16.4419,-51.1178,89.69,23,71,3.31
11,Katangli,RU,2021-06-03 18:36:04,51.7102,143.2326,43.27,99,100,11.41
12,Dikson,RU,2021-06-03 18:36:04,73.5069,80.5464,30.79,97,100,13.69
13,Vaini,TO,2021-06-03 18:34:56,-21.2,-175.2,68.16,94,75,0.0
14,Yangambi,CD,2021-06-03 18:33:03,0.8102,24.4336,70.25,85,99,2.06
15,Tuktoyaktuk,CA,2021-06-03 18:36:05,69.4541,-133.0374,41.0,75,90,10.36
16,Faanui,PF,2021-06-03 18:36:05,-16.4833,-151.75,79.88,77,2,4.09
17,Gamba,GA,2021-06-03 18:36:05,-2.65,10.0,76.03,90,14,6.26
18,Yellowknife,CA,2021-06-03 18:34:01,62.456,-114.3525,63.12,55,75,8.05
19,Port Elizabeth,ZA,2021-06-03 18:32:47,-33.918,25.5701,51.1,87,40,3.44
20,Pangnirtung,CA,2021-06-03 18:36:06,66.1451,-65.7125,39.2,60,90,16.11
21,Hasaki,JP,2021-06-03 18:35:54,35.7333,140.8333,68.4,84,100,20.04
22,Kapaa,US,2021-06-03 18:36:07,22.0752,-159.319,80.58,86,75,1.01
23,Port-Gentil,GA,2021-06-03 18:36:07,-0.7193,8.7815,78.76,89,40,10.36
24,Uyuni,BO,2021-06-03 18:36:07,-20.4597,-66.825,53.4,13,68,10.33
25,Avarua,CK,2021-06-03 18:35:50,-21.2078,-159.775,73.45,88,75,5.75
26,Bambous Virieux,MU,2021-06-03 18:36:08,-20.3428,57.7575,75.45,73,40,17.4
27,Geraldton,AU,2021-06-03 18:36:08,-28.7667,114.6,48.61,87,0,10.71
28,Roma,US,2021-06-03 18:36:03,43.2128,-75.4557,75.4,80,90,9.22
29,Birjand,IR,2021-06-03 18:36:09,32.8663,59.2211,81.07,8,0,6.91
